seller_fee_basis_points	standardWidth	rv	is_alpha	thumbnail	type	external_uri	dist	is dynamic	background_color	updates	prestige	coordinates_bottom_right	Genre	Address	temperature	z	generation	subtitle	creators	xp	features	apiURL	color	payout_address	marble_attributes	ETH$	image_url	offset	bayer	Author	gif_url	var_max	token_id	copyright_transfer	description	image_data	royalty_amount	tokenID	animation_url	decimals	xWidth	Release Qty	id	base	var_min	animation_image	home_url	desc	amount	adw	landmark	archival_url	version	tokenNumber	uniqueComboId	designer	edizione	maxSupply	vz	imageid	image_cover	Watch	lum	texture_orm	updatedAt	canvasImage	BTC Block Height	abilities	var	numAvailable	interactive_nft	preview_images	assetType	resellable	image_original	series	pmrarad	aspect ratio (w/h)	collection_name	scarf	license_url	timestamp	yearCreated	error	original	auctionLength	printableSeries	static-image	tokenId	seed	combination	created_at	shape_obj	attributes	audio	original_creator	scale	mouth	external_link	COMMS	status	token_hash	symbol	canvasWidthInPx	canvases	collection_url	rarity	updated_at	createdAt	icon	media	minted	gasless	edition_total	vintageImage	shape_gltf	Hat	principal	store	title	forSale	mapping_id	token_uri	artwork code	hip	author	radius	dec	eyes	contract	tune_token_id	template	owner	card_id	comp	con	Reference	edition_number	isRevealed	awp	auctionType	listing_id	genome	sale	number_attributes	intermediateLevelSegment	collection	image	bf	total_editions	seriale	created_by	file_key	sensitive_content	Minted By	mag	spect	surname	image_profile_circle	matrix	image_no_bg_url	hash	pmdec	borrow	isFairDice	Date	date	ra	tokenid	animation_details	url	epithets	Website	Body	uses hash	artwork id	externalUrl	collection_id	external_url	createdBy	origin_cid	legal	animationUrls	extra_data	image_full	address	Ball	yHeight	sub_category	variety	artwork number	store_id	copyright	token_address	script type	glb	comp_primary	Artists	properties	compiler	ipfs	texture_bc	hr	audio_original	pmra	core_attributes	randomSeedData	ipfs_image	gl	artist	name	dna	script_type	image_ipfs	img	traits	contractAddress	license	website	flam	personality	rank	fee_recipient	tags	spectral_type	Clothes	Glass	ratio	ci	Type	avatar_url	coordinates_top_left	result	nft_contract_address	cannon_assetId	taskId	alt	ethPrice	created_year	initialLevelSegment	fiatPrice	cover_image_set	chainId	pmdecrad	rarad	amountToMint	poem	DeepestMystery	download	price	contributors	social_media	hd	image_profile_square	vy	totalReturns	visibility	originalIndex	iframe_url	message	absmag	finalLevelSegment	category	decrad	animation	stats	image_details	video	mintedOn	Background Color	creator	backgroundColor	x	colors	_id	Authors	Series	extras_future_url	platform	proper	edition	y	aspect_ratio	gamefi_URI	particleType	minter	language	vx	artwork serial	slot	dependencies	canvasHeightInPx	number	youtube_url
																																			The Spiral																																																						1000					trait_type,value																																																					0x9c3e5a4689D8A53886C2476f71e079Df6fBA4FC6	data:image/svg+xml;base64,PHN2ZyBmaWxsPSJub25lIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIiB3aWR0aD0iNTAwIiBoZWlnaHQ9IjUwMCIgc3R5bGU9ImJhY2tncm91bmQtY29sb3I6I2VhZjZhMyI+PHBhdGggaWQ9InNwaXJhbCIgc3Ryb2tlLWRhc2hhcnJheT0iNjQzNCIgc3Ryb2tlLWRhc2hvZmZzZXQ9IjY0MzQiIHN0cm9rZT0iIzkxYmM2MSIgc3Ryb2tlLXdpZHRoPSIyIiBkPSJNMjUwLDI1MCBhNSwyIDAgMSwxIDEwLDAgNSwyIDAgMSwxIC0xNSwwIDUsMiAwIDEsMSAyMCwwIDUsMiAwIDEsMSAtMjUsMCA1LDIgMCAxLDEgMzAsMCA1LDIgMCAxLDEgLTM1LDAgNSwyIDAgMSwxIDQwLDAgNSwyIDAgMSwxIC00NSwwIDUsMiAwIDEsMSA1MCwwIDUsMiAwIDEsMSAtNTUsMCA1LDIgMCAxLDEgNjAsMCA1LDIgMCAxLDEgLTY1LDAgNSwyIDAgMSwxIDcwLDAgNSwyIDAgMSwxIC03NSwwIDUsMiAwIDEsMSA4MCwwIDUsMiAwIDEsMSAtODUsMCA1LDIgMCAxLDEgOTAsMCA1LDIgMCAxLDEgLTk1LDAgNSwyIDAgMSwxIDEwMCwwIDUsMiAwIDEsMSAtMTA1LDAgNSwyIDAgMSwxIDExMCwwIDUsMiAwIDEsMSAtMTE1LDAgNSwyIDAgMSwxIDEyMCwwIDUsMiAwIDEsMSAtMTI1LDAgNSwyIDAgMSwxIDEzMCwwIDUsMiAwIDEsMSAtMTM1LDAgNSwyIDAgMSwxIDE0MCwwIDUsMiAwIDEsMSAtMTQ1LDAgNSwyIDAgMSwxIDE1MCwwIDUsMiAwIDEsMSAtMTU1LDAgNSwyIDAgMSwxIDE2MCwwIDUsMiAwIDEsMSAtMTY1LDAgNSwyIDAgMSwxIDE3MCwwIDUsMiAwIDEsMSAtMTc1LDAgNSwyIDAgMSwxIDE4MCwwIDUsMiAwIDEsMSAtMTg1LDAgNSwyIDAgMSwxIDE5MCwwIDUsMiAwIDEsMSAtMTk1LDAgNSwwIj48YW5pbWF0ZSBiZWdpbj0ic3RhcnQuYmVnaW4iIGF0dHJpYnV0ZVR5cGU9IlhNTCIgYXR0cmlidXRlTmFtZT0ic3Ryb2tlIiB0bz0iIzkxYmM2MSIgZHVyPSIwLjNzIiBmaWxsPSJmcmVlemUiIC8+PGFuaW1hdGUgaWQ9InN0ZXAxIiBiZWdpbj0ic3RhcnQuYmVnaW4rMC41cyIgYXR0cmlidXRlVHlwZT0iWE1MIiBhdHRyaWJ1dGVOYW1lPSJzdHJva2UtZGFzaG9mZnNldCIgIHRvPSIwIiBkdXI9IjNzIiBmaWxsPSJmcmVlemUiIC8+PGFuaW1hdGUgaWQ9InN0ZXAyIiBiZWdpbj0ic3RlcDEuZW5kKzAuNXMiIGF0dHJpYnV0ZVR5cGU9IlhNTCIgYXR0cmlidXRlTmFtZT0ic3Ryb2tlLWRhc2hhcnJheSIgdG89IjAiIGR1cj0iM3MiIGZpbGw9ImZyZWV6ZSIgLz48YW5pbWF0ZSBiZWdpbj0ic3RhcnQuYmVnaW4rNi41cyIgYXR0cmlidXRlVHlwZT0iWE1MIiBhdHRyaWJ1dGVOYW1lPSJzdHJva2UiIHRvPSIjZjA0YzFhIiBkdXI9IjAuM3MiIGZpbGw9ImZyZWV6ZSIgLz48YW5pbWF0ZSBpZD0ic3RlcDMiIGJlZ2luPSJzdGVwMi5lbmQrMXMiIGF0dHJpYnV0ZVR5cGU9IlhNTCIgYXR0cmlidXRlTmFtZT0ic3Ryb2tlLWRhc2hhcnJheSIgdG89IjE2MDgiIGR1cj0iM3MiIGZpbGw9ImZyZWV6ZSIgLz48YW5pbWF0ZSBpZD0ic3RlcDQiIGJlZ2luPSJzdGVwMy5lbmQrMC41cyIgYXR0cmlidXRlVHlwZT0iWE1MIiBhdHRyaWJ1dGVOYW1lPSJzdHJva2UtZGFzaG9mZnNldCIgdG89IjY0MzQiIGR1cj0iM3MiIGZpbGw9ImZyZWV6ZSIgLz48YW5pbWF0ZSBiZWdpbj0ic3RhcnQuYmVnaW4rMTNzIiBhdHRyaWJ1dGVUeXBlPSJYTUwiIGF0dHJpYnV0ZU5hbWU9InN0cm9rZSIgdG89IiM4Mjc0NDEiIGR1cj0iMC4zcyIgZmlsbD0iZnJlZXplIiAvPjxhbmltYXRlIGlkPSJzdGVwNSIgYmVnaW49InN0ZXA0LmVuZCswLjVzIiBhdHRyaWJ1dGVUeXBlPSJYTUwiIGF0dHJpYnV0ZU5hbWU9InN0cm9rZS1kYXNoYXJyYXkiIHRvPSIzMjE3IiBkdXI9IjNzIiBmaWxsPSJmcmVlemUiIC8+PGFuaW1hdGUgaWQ9InN0ZXA2IiBiZWdpbj0ic3RlcDUuZW5kKzAuNXMiIGF0dHJpYnV0ZVR5cGU9IlhNTCIgYXR0cmlidXRlTmFtZT0ic3Ryb2tlLWRhc2hhcnJheSIgdG89IjY0MzQiIGR1cj0iM3MiIGZpbGw9ImZyZWV6ZSIgLz48L3BhdGg+PHBhdGggaWQ9InNwaXJhbCIgc3Ryb2tlLWRhc2hhcnJheT0iMCIgc3Ryb2tlLWRhc2hvZmZzZXQ9IjAiIHN0cm9rZT0iIzAwMDBmZiIgc3Ryb2tlLXdpZHRoPSIyIiBkPSJNMjUwLDI1MCBhNSwyIDAgMSwxIDEwLDAgNSwyIDAgMSwxIC0xNSwwIDUsMiAwIDEsMSAyMCwwIDUsMiAwIDEsMSAtMjUsMCA1LDIgMCAxLDEgMzAsMCA1LDIgMCAxLDEgLTM1LDAgNSwyIDAgMSwxIDQwLDAgNSwyIDAgMSwxIC00NSwwIDUsMiAwIDEsMSA1MCwwIDUsMiAwIDEsMSAtNTUsMCA1LDIgMCAxLDEgNjAsMCA1LDIgMCAxLDEgLTY1LDAgNSwyIDAgMSwxIDcwLDAgNSwyIDAgMSwxIC03NSwwIDUsMiAwIDEsMSA4MCwwIDUsMiAwIDEsMSAtODUsMCA1LDIgMCAxLDEgOTAsMCA1LDIgMCAxLDEgLTk1LDAgNSwyIDAgMSwxIDEwMCwwIDUsMiAwIDEsMSAtMTA1LDAgNSwyIDAgMSwxIDExMCwwIDUsMiAwIDEsMSAtMTE1LDAgNSwyIDAgMSwxIDEyMCwwIDUsMiAwIDEsMSAtMTI1LDAgNSwyIDAgMSwxIDEzMCwwIDUsMiAwIDEsMSAtMTM1LDAgNSwyIDAgMSwxIDE0MCwwIDUsMiAwIDEsMSAtMTQ1LDAgNSwyIDAgMSwxIDE1MCwwIDUsMiAwIDEsMSAtMTU1LDAgNSwyIDAgMSwxIDE2MCwwIDUsMiAwIDEsMSAtMTY1LDAgNSwyIDAgMSwxIDE3MCwwIDUsMiAwIDEsMSAtMTc1LDAgNSwyIDAgMSwxIDE4MCwwIDUsMiAwIDEsMSAtMTg1LDAgNSwyIDAgMSwxIDE5MCwwIDUsMiAwIDEsMSAtMTk1LDAgNSwwIj48YW5pbWF0ZSBpZD0ic3RhcnQiIGF0dHJpYnV0ZVR5cGU9IlhNTCIgYXR0cmlidXRlTmFtZT0ic3Ryb2tlIiBiZWdpbj0iMC41cztlbmQuZW5kKzAuNXMiIHRvPSIjMDAwMGZmIiBkdXI9IjI2LjVzIiBmaWxsPSJmcmVlemUiIC8+PGFuaW1hdGUgYXR0cmlidXRlVHlwZT0iWE1MIiBhdHRyaWJ1dGVOYW1lPSJzdHJva2UtZGFzaG9mZnNldCIgYmVnaW49InN0YXJ0LmJlZ2luIiB0bz0iNjQzNCIgZHVyPSIyNnMiIGZpbGw9ImZyZWV6ZSIgLz48YW5pbWF0ZSBhdHRyaWJ1dGVUeXBlPSJYTUwiIGF0dHJpYnV0ZU5hbWU9InN0cm9rZS1kYXNoYXJyYXkiIGJlZ2luPSJzdGFydC5iZWdpbiIgdG89IjY0MzQiIGR1cj0iMjZzIiBmaWxsPSJmcmVlemUiIC8+PGFuaW1hdGUgYXR0cmlidXRlVHlwZT0iWE1MIiBhdHRyaWJ1dGVOYW1lPSJzdHJva2UtZGFzaG9mZnNldCIgYmVnaW49InN0ZXA2LmVuZCsxIiB0bz0iMCIgZHVyPSIwLjNzIiBmaWxsPSJmcmVlemUiIC8+PGFuaW1hdGUgaWQ9ImVuZCIgYXR0cmlidXRlVHlwZT0iWE1MIiBhdHRyaWJ1dGVOYW1lPSJzdHJva2UtZGFzaGFycmF5IiBiZWdpbj0ic3RlcDYuZW5kKzEiIHRvPSIwIiBkdXI9IjAuM3MiIGZpbGw9ImZyZWV6ZSIgLz48L3BhdGg+PC9zdmc+																															https://thecolors.art																																The #eaf6a3 Spiral																																																																																			
																																																																																									101					trait_type,value																																																					0x3718826491381975fBDC3Ae5554a3144FF558e07	https://thethingnft.s3.ap-southeast-1.amazonaws.com/thething/bc4d3ea49e93de516060c3a2c6a5caa7.jpg																																																															The Thing #101																																																																																			
																																			Sonya Atrë																																																						1000										https://api.chainguardians.io/leapi/opensea/1000																																																0x4fe99deb8f0be517C31fAAAD49b4b054Ed28c267	https://lh3.googleusercontent.com/_qlX2HWzVZWUHZF8c4SAZEKWdMo-Tt6MTJghUppiUF2Av8KL8jGttJQGb3ptUuXC8vrvtVfTaeU2uH7ES3QY3vPfVQtzqQMW9c3leg																																																															Sonya Atrëides #1																																																																																			
																																			The Conver																																708592																						12					trait_type,value																																											ukiyo-e										0xC330Df24A49B025cc1906aB1b952Dded45e6Fb85	https://ipfs.io/ipfs/QmRDAAPkGcueJVZdeBeb1Qwa4WBUzqtfbGhUzVZyKjhdRC																		Nov2021														crwwk																															The Conversation																																																																																			
																																			A fight cl																																																						1023					trait_type,value					https://pandafightclub.com																																																0x4B88123eafa85FF203b7bC4867214695b2A5D9C3	https://meta.pandafightclub.com/ipfs/QmS5EeGFNHtnogAqcGXJeajLGzawm7LRqRSuQ4auUFaWBG																															https://pandafightclub.com																																Panda Fight Club #1023																																																																																			
																																																																																									1005																																																										0xB4e74CB9B18C8cA5861a45d23bE72357Fc4EB413																																																																																																																																																			
																																			Fractal tr																																																						44					trait_type,value																																																					0x119608699519d97d48c7D462749B93E55a482f37	https://trilogy.fractalnft.art/items/576_1be8132f05c3c69e0c4a.png																															https://mandelbrot.fractalnft.art																																#576 - Surface Space Fabric																																																																																			
																																			Let your i			109	https://5ht7btyachan7uxmjtryue3etju3qc4rkcpqcb4zwwd4nna752qq.arweave.net/6efwzwARwN_S7EzjihNkmmm4C5FQnwEHmbWHxrQf7qE?tokenId=109																																																		109					trait_type,value																																																					0x02560112988e2495261b8ff6f9daD64ee566a324	https://gateway.pinata.cloud/ipfs/Qmd47fohbVUG2BD9qPRHH3igGyFYdrkDJecw2s6isoLH7F/109																																																															Pulses of imagination #109																																																																																			
																																																																																									138					trait_type,value																																																					0x8F419642908E7f4bd8E925A47FA49E71cD3b5394	https://ipfs.io/ipfs/QmdQ7p95U7Q2A6JrfLh5ui3Kxwy3qHasHdr5crfSdbfSD8/138.png																																																															Goose Punk #138																																																																																			
																																																																																									1																																																										0xFd082F6e5fC7Cf1b6393969c64bF4D7Cff774E7A																																																																																																																																																			
																																			Mutant Gar																																																						12644189					trait_type,display_type,value																																																					0x20C70BDFCc398C1f06bA81730c8B52ACE3af7cc3	https://seeder.mutant.garden/api/mutant/12644189/vector/now																															https://seeder.mutant.garden/m/12644189																																Emyelle																																																																																			
																																			SanJay Rob																																																						1003					trait_type,value																																																					0xf5d431BC1927fE8D98669bA737299B62F9AAf008	https://sanjayrobots.s3.amazonaws.com/1003.png																															https://sanjayrobots.com/																																SANJAY ROBOTS #1003																																																																																			
																																																																																									10					trait_type,value																																																					0x773C74A6af9fc8FfCDcf46155CaA9F68E0eb774f	https://ninjatoadz.mypinata.cloud/ipfs/QmZwPMixhCN29v2zaBQ2zcGoeNeGL3SXJ9xZbZLNQmGgKq/312.png																																																															NinjaToadz #312																																																																																			
									fffab3																										Do electri																																																						6					trait_type,value																																																					0x5A64f7152b91A6fd60c7df4dE08b4D1698cc2370	https://maniatulips.io/NFTs/images/6.png																			1631373232837																							tulip																					ManiaTulip #6	042415255		ipfs://bafkreiawtwzxhdmtnqpvllqjq2lw2ijthmjdph3sxxxtfwvwerbv62xbfa																																																									roodelia										6													
																																			One of 625																																																						114					trait_type,value																																																					0xd0e7Bc3F1EFc5f098534Bce73589835b8273b9a0	https://cryptocats.thetwentysix.io/contents/images/cats/114.png																															https://cryptocats.thetwentysix.io/cat/114																																Cat #114																																																																																			
																																			This sound				ipfs://QmY6x8A6hwAwCcqfdPZpvmZzswJ33kKcexcHbjrUmgkvyc																																				ipfs://QmdEuDVbRWW7FszX8ucpfQbcy8rt38vftug2sn3JNCTzFN														1038					max_value,trait_type,display_type,value	ipfs://QmYb6grxdZZGsxLUHGeExs8j3HP9YzC2FWFKZkoipDcurT																																																				0x0aE360ce5d263936bEb3f59ECF74959014d2ABF4	ipfs://QmcWEux3GZLjHEjb87c2MEnrNs5FSSE5761ZnXKSxZKHNz																															https://snark.art/1000-twangling-instruments/sd/130G																									ipfs://QmbmT9CTxk8FGc5B9aWAGpmagg59ZhG7wCZFsph2Ep66B6						Volkmar Klien	130G																																																																																			
																																																																																									41					trait_type,value																																																					0x99542A4a3591E22A20AdEa3B7bd1Ecb94eb7CE4f	https://minimints.app/minipets/api/41.jpg																																																															MiniPet #41																																																																																			
